0,11440766
256,26
1,76824527
2,75186352
3,29559497
4,11182533
5,4558848
6,5201994
7,1585949
8,2226172
9,832072
10,653463
11,551931
12,529164
13,424887
14,233108
15,316469
16,179029
272,358
17,45564
18,80867
19,214921
20,184652
21,98210
22,59033
23,39365
24,67968
25,10595
26,227719
27,24336
28,22040
29,22413
30,39046
31,117138
32,31512
33,1599
34,7193
35,18526
36,22111
37,24711
38,44688
39,15093
40,24599
41,5178
42,2
43,256
44,578
45,1100
46,1222
47,4
48,12734
49,22478
50,24
306,4
51,324
52,968
53,240951
54,449
55,2
56,512
57,10
59,1458
60,2056
61,179
62,401
63,21
64,316
65,4
66,62
67,2
68,840
69,8
70,2000
75,74
76,201
81,900
82,228
83,4
85,656
87,6
88,2
90,8
96,2
98,358
100,68
101,74
103,6
105,2
108,2792
109,2792
113,80
115,2
124,2
134,788
141,26
151,294
153,14
154,2
156,2
162,6
164,358
181,31
192,2
195,38
197,4
199,28
201,15
217,14
247,2
248,4
249,14
