0,5484296
256,13
1,35777479
2,34893552
3,14086526
4,5160514
5,1870225
6,2439247
7,699422
8,1067392
9,390651
10,307033
11,265525
12,254148
13,200923
14,107990
15,153764
16,86781
272,179
17,21049
18,39670
19,106715
20,90880
21,48528
22,26704
23,18974
24,31820
25,5160
26,113678
27,12132
28,8488
29,9175
30,19188
31,51025
32,7985
33,540
34,3307
35,9230
36,10527
37,12011
38,21776
39,5849
40,11130
41,2576
42,1
43,128
44,289
45,550
46,611
47,2
48,6367
49,11238
50,12
306,2
51,4
52,469
53,120212
54,1
55,1
56,183
57,5
59,729
60,907
61,61
63,2
64,158
65,2
66,31
68,420
69,4
70,1000
75,37
81,450
82,114
83,2
85,328
87,3
88,1
90,4
96,1
98,179
100,34
101,37
103,3
105,1
108,1396
109,1396
113,40
115,1
124,1
134,394
141,13
151,147
153,7
154,1
156,1
162,3
164,179
181,9
192,1
195,19
197,2
199,11
201,4
217,7
247,1
248,2
249,7
0,5484296
256,13
1,35777479
2,34893552
3,14086526
4,5160514
5,1870225
6,2439247
7,699422
8,1067392
9,390651
10,307033
11,265525
12,254148
13,200923
14,107990
15,153764
16,86781
272,179
17,21049
18,39670
19,106715
20,90880
21,48528
22,26704
23,18974
24,31820
25,5160
26,113678
27,12132
28,8488
29,9175
30,19188
31,51025
32,7985
33,540
34,3307
35,9230
36,10527
37,12011
38,21776
39,5849
40,11130
41,2576
42,1
43,128
44,289
45,550
46,611
47,2
48,6367
49,11238
50,12
306,2
51,4
52,469
53,120212
54,1
55,1
56,183
57,5
59,729
60,907
61,61
63,2
64,158
65,2
66,31
68,420
69,4
70,1000
75,37
81,450
82,114
83,2
85,328
87,3
88,1
90,4
96,1
98,179
100,34
101,37
103,3
105,1
108,1396
109,1396
113,40
115,1
124,1
134,394
141,13
151,147
153,7
154,1
156,1
162,3
164,179
181,9
192,1
195,19
197,2
199,11
201,4
217,7
247,1
248,2
249,7
