sara_shackleton_003_1_1.pst.69.xls,13,28,30,28,30
paul_y'barbo_000_1_1.pst.173.xls,4014,7336,4014,2926,1809
scott_neal_000_1_1.pst.19.xls,359,581,883,369,472
benjamin_rogers_000_1_1.pst.46.xls,1396,2749,2054,1468,770
joe_parks_000_1_1.pst.524.xls,29,40,49,40,49
don_baughman_000_1_1.pst.144.xls,5837,9546,14577,619,921
darrell_schoolcraft_000_1_1_1.pst.156.xls,26,76,50,7,4
sally_beck_001_1_1_1_1.pst.117.xls,79,131,144,131,144
cara_semperger_000_1_1.pst.20.xls,144,288,144,58,29
daren_farmer_001_1_1.pst.1130.xls,85,133,85,75,56
benjamin_rogers_001_1_1.pst.13.xls,1470,3315,2080,2091,1471
daren_farmer_002_1_1.pst.37.xls,419,767,1005,26,23
paul_y'barbo_000_1_1.pst.3.xls,38,54,90,54,90
chris_germany_000_1_1_1.pst.92.xls,14,28,25,24,23
kim_ward_000_1_2.pst.536.xls,24,48,24,4,2
lisa_gang_000_1_1.pst.126.xls,1551,3269,1816,989,520
jane_tholt_000_1_1.pst.191.xls,5089,9046,10870,5890,8806
robin_rodrigue_000_1_1.pst.127.xls,991,1290,1438,304,362
brad_mckay_000_1_1.pst.11.xls,62,90,106,80,96
benjamin_rogers_001_1_1.pst.53.xls,125,300,231,162,138
lindy_donoho_000_1_1_1.pst.149.xls,23,42,25,42,25
andy_zipper_000_1_1.pst.74.xls,4467,10930,9929,88,77
john_lavorato_001_1_1_1.pst.63.xls,35,50,34,36,28
john_forney_000_1_1.pst.40.xls,48,144,120,144,120
kevin_presto_000_1_1.pst.363.xls,84,80,80,80,80
danny_mccarty_000_1_1.pst.17.xls,2146,4342,2205,4171,2096
chris_germany_000_1_2.pst.259.xls,3467,6120,6238,5994,5237
matt_motley_000_1_1_1.pst.10.xls,403,894,691,677,512
louise_kitchen_000_1_1_1_1.pst.131.xls,65,111,92,107,85
mark_guzman_000_1_1_1.pst.125.xls,927,2682,1788,754,500
sally_beck_000_1_1_1_1.pst.299.xls,134,232,300,232,300
andy_zipper_000_1_1.pst.92.xls,53457,99885,88905,208,169
louise_kitchen_000_1_1_1_1.pst.133.xls,337,609,576,609,576
louise_kitchen_001_1_1_1.pst.367.xls,397,533,398,331,241
chris_stokley_000_1_1.pst.145.xls,52,107,95,78,74
rick_buy_000_1_1_1_1.pst.95.xls,12,18,15,18,15
chris_germany_000_1_2.pst.111.xls,18,30,20,15,10
don_baughman_000_1_1.pst.149.xls,5835,9547,14575,625,921
andy_zipper_000_1_1.pst.142.xls,53457,99885,88905,208,169
scott_neal_000_1_1.pst.318.xls,82,245,163,83,55
lisa_gang_000_1_1.pst.98.xls,171,342,171,64,33
chris_germany_000_1_2.pst.245.xls,217,418,392,259,230
chris_germany_000_1_2.pst.1149.xls,657,860,987,529,524
louise_kitchen_000_1_2_1.pst.21.xls,76,203,175,42,31
darron_c_giron_000_1_1_1.pst.35.xls,20,28,14,28,14
sara_shackleton_000_1_2.pst.298.xls,24,38,19,19,10
stacey_white_000_1_1.pst.282.xls,404,897,693,674,510
jeffrey_a_shankman_000_1_2.pst.149.xls,353,1324,1006,88,80
kevin_presto_000_1_1.pst.198.xls,30,34,37,34,37
chris_germany_000_1_2.pst.1081.xls,802,1451,1297,834,832
mark_guzman_000_1_1_1.pst.115.xls,37,75,67,16,9
john_griffith_000_1_1.pst.147.xls,72971,103222,177466,60438,84371
lisa_gang_000_1_1.pst.314.xls,3689,7621,5296,7203,5084
jonathan_mckay_000_1_1.pst.138.xls,56,101,106,65,62
monika_causholli_000_1_1.pst.66.xls,880,1724,1749,1724,1749
vkaminski_000_1_1_1.pst.197.xls,1717,1673,1563,1517,1485
lynn_blair_000_1_1.pst.175.xls,717,771,717,771,717
lisa_gang_000_1_1.pst.34.xls,989,2221,1246,637,334
richard_shapiro_001_1_1_1.pst.5.xls,2931,4000,4813,3592,4056
daren_farmer_000_1_1.pst.228.xls,482,863,970,406,610
monika_causholli_000_1_1.pst.86.xls,27,79,54,39,26
tom_donohoe_000_1_1_1.pst.21.xls,11,23,18,23,18
lisa_gang_000_1_1.pst.157.xls,306,451,1364,451,1364
john_lavorato_000_1_2.pst.276.xls,77,102,136,108,112
darron_c_giron_002_1_1_1.pst.204.xls,39,59,64,59,64
jonathan_mckay_001_1_1.pst.42.xls,21,26,21,17,13
chris_dorland_000_1_1_1.pst.43.xls,135,399,264,15,8
lynn_blair_000_1_1.pst.20.xls,867,1593,1395,565,583
darrell_schoolcraft_000_1_1_1.pst.224.xls,972,1752,1097,1564,905
jason_wolfe_000_1_2.pst.28.xls,26,43,26,43,26
peter_keavey_000_1_1.pst.210.xls,116,575,460,80,64
tracy_geaccone_000_1_1.pst.291.xls,30,61,41,30,17
larry_may_000_1_1.pst.311.xls,29153,39012,85615,26165,73156
tracy_geaccone_000_1_1.pst.228.xls,157,293,258,259,242
daren_farmer_000_1_1.pst.1422.xls,19,46,29,20,11
daren_farmer_000_1_1.pst.1236.xls,933,1419,1908,784,858
paul_y'barbo_000_1_1.pst.46.xls,5588,6711,9153,4971,6646
mary_fischer_000_1_1.pst.265.xls,695,1428,801,688,425
errol_mclaughlin_jr_000_1_1.pst.133.xls,49167,66600,114310,35707,49979
steven_merriss_000_1_1.pst.113.xls,745,1381,745,507,308
daren_farmer_001_1_1.pst.1094.xls,24,56,42,56,42
kevin_hyatt_000_1_1.pst.59.xls,24,32,25,20,17
chris_germany_000_1_1_1.pst.156.xls,20,40,20,40,20
richard_shapiro_000_1_1.pst.143.xls,60,128,100,128,100
tom_donohoe_000_1_1_1.pst.81.xls,77,140,126,140,126
marie_heard_000_1_1.pst.14.xls,23,38,19,19,10
andy_zipper_000_1_1.pst.20.xls,3542,10182,10498,3108,3873
dutch_quigley_000_1_1.pst.109.xls,53,136,98,19,14
scott_neal_000_1_1.pst.258.xls,29,53,45,53,45
lisa_gang_000_1_1.pst.169.xls,306,451,1364,451,1364
theresa_staab_000_1_1.pst.161.xls,229,444,386,132,123
scott_neal_000_1_1.pst.949.xls,434,701,918,290,321
mike_carson_000_1_1.pst.56.xls,49,85,95,30,35
benjamin_rogers_001_1_1.pst.246.xls,9646,16904,20810,14293,17353
peter_keavey_000_1_1.pst.118.xls,116,575,460,80,64
daren_farmer_001_1_1.pst.1088.xls,57,104,69,63,48
chris_dorland_000_1_1_1.pst.47.xls,4891,6757,12676,2494,3694
sally_beck_001_1_1_1_1.pst.232.xls,21,43,22,43,22
stacey_white_000_1_1.pst.232.xls,1111,1799,1661,1342,1264
kevin_presto_000_1_1.pst.464.xls,102,250,206,115,136
gerald_nemec_000_1_1.pst.281.xls,32,62,71,42,39
sally_beck_001_1_1_1_1.pst.12.xls,27,48,45,13,10
richard_ring_000_1_1.pst.49.xls,42,84,44,84,44
louise_kitchen_000_1_2_1.pst.185.xls,20,32,19,23,13
daren_farmer_001_1_1.pst.1125.xls,81,138,102,41,23
daren_farmer_001_1_1.pst.895.xls,5686,11769,10860,2496,2155
richard_ring_000_1_1.pst.132.xls,76,342,270,19,15
darrell_schoolcraft_000_1_1_1.pst.177.xls,3166,5588,4654,407,376
holden_salisbury_000_1_1.pst.5.xls,42,80,74,73,64
