Memory Storage,Baseline,Test Spreadsheet,Run,Total time of adding the batch (ms)
memOnly,TACO,enron_max1.xls,RUN1,24441
memOnly,TACO,enron_max1.xls,RUN2,25103
memOnly,TACO,enron_max1.xls,RUN3,24240
memOnly,NoComp,enron_max1.xls,RUN1,7743
memOnly,NoComp,enron_max1.xls,RUN2,7596
memOnly,NoComp,enron_max1.xls,RUN3,7622
,Antifreeze,enron_max1.xls,,1000000
memOnly,TACO,enron_max2.xls,RUN1,5596
memOnly,TACO,enron_max2.xls,RUN2,5354
memOnly,TACO,enron_max2.xls,RUN3,5712
memOnly,NoComp,enron_max2.xls,RUN1,1398
memOnly,NoComp,enron_max2.xls,RUN2,1193
memOnly,NoComp,enron_max2.xls,RUN3,1226
,Antifreeze,enron_max2.xls,,1000000
memOnly,TACO,enron_max3.xls,RUN1,5159
memOnly,TACO,enron_max3.xls,RUN2,5169
memOnly,TACO,enron_max3.xls,RUN3,5199
memOnly,NoComp,enron_max3.xls,RUN1,1275
memOnly,NoComp,enron_max3.xls,RUN2,1176
memOnly,NoComp,enron_max3.xls,RUN3,1231
,Antifreeze,enron_max3.xls,,1000000
memOnly,TACO,enron_max4.xls,RUN1,9325
memOnly,TACO,enron_max4.xls,RUN2,9837
memOnly,TACO,enron_max4.xls,RUN3,9394
memOnly,NoComp,enron_max4.xls,RUN1,1723
memOnly,NoComp,enron_max4.xls,RUN2,1831
memOnly,NoComp,enron_max4.xls,RUN3,1779
,Antifreeze,enron_max4.xls,,1000000
memOnly,TACO,enron_max5.xls,RUN1,1939
memOnly,TACO,enron_max5.xls,RUN2,1931
memOnly,TACO,enron_max5.xls,RUN3,2000
memOnly,NoComp,enron_max5.xls,RUN1,493
memOnly,NoComp,enron_max5.xls,RUN2,582
memOnly,NoComp,enron_max5.xls,RUN3,596
,Antifreeze,enron_max5.xls,,1000000
memOnly,TACO,enron_long1.xls,RUN1,6816
memOnly,TACO,enron_long1.xls,RUN2,6658
memOnly,TACO,enron_long1.xls,RUN3,6883
memOnly,NoComp,enron_long1.xls,RUN1,2921
memOnly,NoComp,enron_long1.xls,RUN2,3004
memOnly,NoComp,enron_long1.xls,RUN3,3000
,Antifreeze,enron_long1.xls,,1000000
memOnly,TACO,enron_long2.xls,RUN1,263
memOnly,TACO,enron_long2.xls,RUN2,261
memOnly,TACO,enron_long2.xls,RUN3,243
memOnly,NoComp,enron_long2.xls,RUN1,76
memOnly,NoComp,enron_long2.xls,RUN2,77
memOnly,NoComp,enron_long2.xls,RUN3,77
memOnly,Antifreeze,enron_long2.xls,RUN1,12428
memOnly,Antifreeze,enron_long2.xls,RUN2,12549
memOnly,Antifreeze,enron_long2.xls,RUN3,13149
memOnly,TACO,enron_long3.xls,RUN1,879
memOnly,TACO,enron_long3.xls,RUN2,806
memOnly,TACO,enron_long3.xls,RUN3,859
memOnly,NoComp,enron_long3.xls,RUN1,301
memOnly,NoComp,enron_long3.xls,RUN2,273
memOnly,NoComp,enron_long3.xls,RUN3,286
memOnly,Antifreeze,enron_long3.xls,RUN1,141601
memOnly,Antifreeze,enron_long3.xls,RUN2,143724
memOnly,TACO,github_max1.xlsx,RUN1,84607
memOnly,TACO,github_max1.xlsx,RUN2,82937
memOnly,TACO,github_max1.xlsx,RUN3,84076
memOnly,NoComp,github_max1.xlsx,RUN1,20860
memOnly,NoComp,github_max1.xlsx,RUN2,20782
memOnly,NoComp,github_max1.xlsx,RUN3,20615
,Antifreeze,github_max1.xlsx,,1000000
memOnly,TACO,github_max2.xlsx,RUN1,8656
memOnly,TACO,github_max2.xlsx,RUN2,8459
memOnly,TACO,github_max2.xlsx,RUN3,9337
memOnly,NoComp,github_max2.xlsx,RUN1,3840
memOnly,NoComp,github_max2.xlsx,RUN2,3928
memOnly,NoComp,github_max2.xlsx,RUN3,3966
,Antifreeze,github_max2.xlsx,,1000000
memOnly,TACO,github_max3.xlsx,RUN1,11569
memOnly,TACO,github_max3.xlsx,RUN2,12188
memOnly,TACO,github_max3.xlsx,RUN3,12727
memOnly,NoComp,github_max3.xlsx,RUN1,4664
