Memory Storage,Baseline,Test Spreadsheet,Run,Total time of adding the batch (ms)
memOnly,NoComp,github_max3.xlsx,RUN2,4608
memOnly,NoComp,github_max3.xlsx,RUN3,4606
,Antifreeze,github_max3.xlsx,,1000000
memOnly,TACO,github_max4.xlsx,RUN1,7240
memOnly,TACO,github_max4.xlsx,RUN2,7888
memOnly,TACO,github_max4.xlsx,RUN3,7804
memOnly,NoComp,github_max4.xlsx,RUN1,3353
memOnly,NoComp,github_max4.xlsx,RUN2,3453
memOnly,NoComp,github_max4.xlsx,RUN3,3447
,Antifreeze,github_max4.xlsx,,1000000
memOnly,TACO,github_max5.xlsx,RUN1,11809
memOnly,TACO,github_max5.xlsx,RUN2,11612
memOnly,TACO,github_max5.xlsx,RUN3,10992
memOnly,NoComp,github_max5.xlsx,RUN1,4606
memOnly,NoComp,github_max5.xlsx,RUN2,4505
memOnly,NoComp,github_max5.xlsx,RUN3,4716
,Antifreeze,github_max5.xlsx,,1000000
memOnly,TACO,github_long1.xlsx,RUN1,7317
memOnly,TACO,github_long1.xlsx,RUN2,7714
memOnly,TACO,github_long1.xlsx,RUN3,7237
memOnly,NoComp,github_long1.xlsx,RUN1,4020
memOnly,NoComp,github_long1.xlsx,RUN2,3761
memOnly,NoComp,github_long1.xlsx,RUN3,4055
,Antifreeze,github_long1.xlsx,,1000000
memOnly,TACO,github_long2.xlsx,RUN1,2703
memOnly,TACO,github_long2.xlsx,RUN2,2254
memOnly,TACO,github_long2.xlsx,RUN3,2249
memOnly,NoComp,github_long2.xlsx,RUN1,1084
memOnly,NoComp,github_long2.xlsx,RUN2,1111
memOnly,NoComp,github_long2.xlsx,RUN3,1191
,Antifreeze,github_long2.xlsx,,1000000
memOnly,TACO,github_long3.xlsx,RUN1,2524
memOnly,TACO,github_long3.xlsx,RUN2,2812
memOnly,TACO,github_long3.xlsx,RUN3,2261
memOnly,NoComp,github_long3.xlsx,RUN1,1151
memOnly,NoComp,github_long3.xlsx,RUN2,1196
memOnly,NoComp,github_long3.xlsx,RUN3,1261
,Antifreeze,github_long3.xlsx,,1000000
