Memory Storage,Baseline,Test Spreadsheet,Run,Total time of refreshing the cache (ms)
memOnly,TACO,enron_max1.xls,RUN1,160
memOnly,TACO,enron_max1.xls,RUN2,150
memOnly,TACO,enron_max1.xls,RUN3,147
memOnly,NoComp,enron_max1.xls,RUN1,38
memOnly,NoComp,enron_max1.xls,RUN2,28
memOnly,NoComp,enron_max1.xls,RUN3,38
,Antifreeze,enron_max1.xls,,10000000
memOnly,TACO,enron_max2.xls,RUN1,72
memOnly,TACO,enron_max2.xls,RUN2,70
memOnly,TACO,enron_max2.xls,RUN3,72
memOnly,NoComp,enron_max2.xls,RUN1,38
memOnly,NoComp,enron_max2.xls,RUN2,19
memOnly,NoComp,enron_max2.xls,RUN3,19
,Antifreeze,enron_max2.xls,,10000000
memOnly,TACO,enron_max3.xls,RUN1,77
memOnly,TACO,enron_max3.xls,RUN2,84
memOnly,TACO,enron_max3.xls,RUN3,81
memOnly,NoComp,enron_max3.xls,RUN1,26
memOnly,NoComp,enron_max3.xls,RUN2,19
memOnly,NoComp,enron_max3.xls,RUN3,20
,Antifreeze,enron_max3.xls,,10000000
memOnly,TACO,enron_max4.xls,RUN1,36
memOnly,TACO,enron_max4.xls,RUN2,37
memOnly,TACO,enron_max4.xls,RUN3,36
memOnly,NoComp,enron_max4.xls,RUN1,23
memOnly,NoComp,enron_max4.xls,RUN2,25
memOnly,NoComp,enron_max4.xls,RUN3,22
,Antifreeze,enron_max4.xls,,10000000
memOnly,TACO,enron_max5.xls,RUN1,39
memOnly,TACO,enron_max5.xls,RUN2,28
memOnly,TACO,enron_max5.xls,RUN3,29
memOnly,NoComp,enron_max5.xls,RUN1,13
memOnly,NoComp,enron_max5.xls,RUN2,23
memOnly,NoComp,enron_max5.xls,RUN3,20
,Antifreeze,enron_max5.xls,,10000000
memOnly,TACO,enron_long1.xls,RUN1,74
memOnly,TACO,enron_long1.xls,RUN2,40
memOnly,TACO,enron_long1.xls,RUN3,39
memOnly,NoComp,enron_long1.xls,RUN1,35
memOnly,NoComp,enron_long1.xls,RUN2,35
memOnly,NoComp,enron_long1.xls,RUN3,31
,Antifreeze,enron_long1.xls,,10000000
memOnly,TACO,enron_long2.xls,RUN1,50
memOnly,TACO,enron_long2.xls,RUN2,45
