Memory Storage,Baseline,Test Spreadsheet,Run,Total test time (ms),Number of cells to update,Number of cells updated,Total time to update cells (ms),Total time after the update (ms),Total time of getting dependents (ms),Total time of adding the batch (ms),Total time of refreshing the cache (ms),Area under curve
memOnly,NoComp,github_max1.xlsx,RUN1,49519,284621,0,12775,0,12516,21096,59,0.0
memOnly,NoComp,github_max1.xlsx,RUN2,49625,284621,0,13779,0,13504,20576,36,0.0
memOnly,NoComp,github_max1.xlsx,RUN3,54006,284621,0,13589,0,13356,20773,39,0.0
DB,NoComp,github_max2.xlsx,RUN1,570593,189107,0,16604,0,15434,537420,928,0.0
DB,NoComp,github_max2.xlsx,RUN2,542789,189107,0,11219,0,10221,520309,812,0.0
DB,NoComp,github_max2.xlsx,RUN3,568357,189107,0,13339,0,12131,541754,1025,0.0
memOnly,NoComp,github_max2.xlsx,RUN1,12052,189107,0,3592,0,3443,3945,35,0.0
memOnly,NoComp,github_max2.xlsx,RUN2,11512,189107,0,3402,0,3273,3971,27,0.0
memOnly,NoComp,github_max2.xlsx,RUN3,11839,189107,0,3526,0,3363,3973,29,0.0
DB,NoComp,github_max3.xlsx,RUN1,694512,15639,0,8002,0,7084,678442,898,0.0
DB,NoComp,github_max3.xlsx,RUN2,750530,15639,0,8011,0,6881,734570,1113,0.0
DB,NoComp,github_max3.xlsx,RUN3,800973,15639,0,8675,0,7780,783596,868,0.0
memOnly,NoComp,github_max3.xlsx,RUN1,6193,15639,0,387,0,326,4691,42,0.0
memOnly,NoComp,github_max3.xlsx,RUN2,6045,15639,0,345,0,283,4708,43,0.0
memOnly,NoComp,github_max3.xlsx,RUN3,6246,15639,0,379,0,318,4725,43,0.0
DB,NoComp,github_max4.xlsx,RUN1,515077,5,0,862,0,2,513317,859,0.0
DB,NoComp,github_max4.xlsx,RUN2,563310,5,0,849,0,2,561594,847,0.0
DB,NoComp,github_max4.xlsx,RUN3,529884,5,0,816,0,2,528061,813,0.0
memOnly,NoComp,github_max4.xlsx,RUN1,4103,5,0,39,0,1,3443,37,0.0
memOnly,NoComp,github_max4.xlsx,RUN2,4448,5,0,31,0,1,3809,30,0.0
memOnly,NoComp,github_max4.xlsx,RUN3,4185,5,0,33,0,1,3573,31,0.0
DB,NoComp,github_max5.xlsx,RUN1,711909,1,0,899,0,1,709802,897,0.0
DB,NoComp,github_max5.xlsx,RUN2,885641,1,0,828,0,2,883537,826,0.0
DB,NoComp,github_max5.xlsx,RUN3,773360,1,0,820,0,1,771298,819,0.0
memOnly,NoComp,github_max5.xlsx,RUN1,5609,1,0,43,0,1,4889,42,0.0
memOnly,NoComp,github_max5.xlsx,RUN2,5711,1,0,43,0,1,5005,42,0.0
memOnly,NoComp,github_max5.xlsx,RUN3,5644,1,0,70,0,1,4924,69,0.0
