Mon 07 Feb 2022 01:54:42 PM PST: Finished testing enron_max4.xls: memOnly:false, Comp

Mon 07 Feb 2022 01:54:54 PM PST: Finished testing enron_max4.xls: memOnly:false, Comp

Mon 07 Feb 2022 01:55:07 PM PST: Finished testing enron_max4.xls: memOnly:false, Comp

Mon 07 Feb 2022 01:55:12 PM PST: Finished testing enron_max4.xls: memOnly:true, PGImpl

Mon 07 Feb 2022 01:55:16 PM PST: Finished testing enron_max4.xls: memOnly:true, PGImpl

Mon 07 Feb 2022 01:55:20 PM PST: Finished testing enron_max4.xls: memOnly:true, PGImpl

Mon 07 Feb 2022 01:58:37 PM PST: Finished testing enron_max4.xls: memOnly:false, PGImpl

Mon 07 Feb 2022 02:01:58 PM PST: Finished testing enron_max4.xls: memOnly:false, PGImpl

Mon 07 Feb 2022 02:07:03 PM PST: Finished testing enron_max4.xls: memOnly:false, PGImpl

Mon 07 Feb 2022 02:07:07 PM PST: Finished testing enron_max5.xls: memOnly:true, Comp

Mon 07 Feb 2022 02:07:11 PM PST: Finished testing enron_max5.xls: memOnly:true, Comp

Mon 07 Feb 2022 02:07:15 PM PST: Finished testing enron_max5.xls: memOnly:true, Comp

Mon 07 Feb 2022 02:07:19 PM PST: Finished testing enron_max5.xls: memOnly:false, Comp

Mon 07 Feb 2022 02:07:23 PM PST: Finished testing enron_max5.xls: memOnly:false, Comp

Mon 07 Feb 2022 02:07:27 PM PST: Finished testing enron_max5.xls: memOnly:false, Comp

Mon 07 Feb 2022 02:07:29 PM PST: Finished testing enron_max5.xls: memOnly:true, PGImpl

Mon 07 Feb 2022 02:07:32 PM PST: Finished testing enron_max5.xls: memOnly:true, PGImpl

Mon 07 Feb 2022 02:07:34 PM PST: Finished testing enron_max5.xls: memOnly:true, PGImpl

Mon 07 Feb 2022 02:08:50 PM PST: Finished testing enron_max5.xls: memOnly:false, PGImpl

Mon 07 Feb 2022 02:10:05 PM PST: Finished testing enron_max5.xls: memOnly:false, PGImpl

Mon 07 Feb 2022 02:11:26 PM PST: Finished testing enron_max5.xls: memOnly:false, PGImpl

Mon 07 Feb 2022 02:18:11 PM PST: Finished testing enron_max3.xls: memOnly:false, PGImpl

