,execution_type,mean_percent (%),max_percent (%),mean_time (s),max_time (s)
0,NoShare-Nonuniform,5.263328281960372,37.84822286263208,0.5633777766666671,2.303333330000001
1,NoShare-Uniform,2.772024095421068,21.007444764649367,0.1468666666666666,1.3995999999999995
2,Share-Uniform,7.426252801793147,107.9731027857829,0.2786833333333333,3.5968
3,iShare (w/ unshare),5.592078930515529,36.04106628242075,0.6998833333333333,6.003
