,Execution Type,Mean Percent (%),Mean Time (s),Max Percent (%),Max Time (s)
0,NoShare-Nonuniform,7.16,0.38,122.81,6.54
1,NoShare-Uniform,0.15,0.01,11.27,0.49
2,Share-Uniform,3.6,0.08,141.06,3.07
3,iShare (w/ unshare),6.31,0.1,100.55,2.05
