,Execution Type,Mean Percent (%),Mean Time (s),Max Percent (%),Max Time (s)
0,NoShare-Nonuniform,6.55,0.41,217.75,8.18
1,NoShare-Uniform,14.24,0.66,884.47,31.54
2,Share-Uniform,12.06,0.89,742.84,47.1
3,iShare (w/ unshare),2.16,0.29,160.55,41.66
