Spreadsheet name,Total edges,Total formulae,Total nodes,TACO edges,TACO formulae,TACO nodes,Type0 edges,Type0 uncompressed edges,Type1 edges,Type1 uncompressed edges,Type2 edges,Type2 uncompressed edges,Type3 edges,Type3 uncompressed edges,Type4 edges,Type4 uncompressed edges,Type5 edges,Type5 uncompressed edges,Notype edges,Notype nodes,Deduplicated Edges
andy_zipper_000_1_1.pst.16.xls,102377,46088,148465,624,328,945,0,0,460,78275,0,0,0,0,4,8,54,120,106,106,78509
andy_zipper_000_1_1.pst.160.xls,145,137,282,8,6,11,0,0,8,145,0,0,0,0,0,0,0,0,0,0,145
andy_zipper_000_1_1.pst.161.xls,170,162,332,8,6,11,0,0,8,170,0,0,0,0,0,0,0,0,0,0,170
andy_zipper_000_1_1.pst.162.xls,211,203,414,8,6,11,0,0,8,211,0,0,0,0,0,0,0,0,0,0,211
andy_zipper_000_1_1.pst.163.xls,237,229,466,8,6,11,0,0,8,237,0,0,0,0,0,0,0,0,0,0,237
andy_zipper_000_1_1.pst.164.xls,408,400,808,8,6,11,0,0,8,408,0,0,0,0,0,0,0,0,0,0,408
andy_zipper_000_1_1.pst.165.xls,6787,1771,8558,13,5,15,0,0,11,4279,0,0,0,0,2,836,0,0,0,0,5115
andy_zipper_000_1_1.pst.166.xls,9719,2555,12274,15,7,19,0,0,13,6137,0,0,0,0,2,1194,0,0,0,0,7331
andy_zipper_000_1_1.pst.167.xls,10404,2736,13140,14,6,17,0,0,12,6570,0,0,0,0,2,1278,0,0,0,0,7848
andy_zipper_000_1_1.pst.168.xls,10972,2884,13856,14,6,17,0,0,12,6928,0,0,0,0,2,1348,0,0,0,0,8276
andy_zipper_000_1_1.pst.169.xls,11277,2961,14238,14,6,17,0,0,12,7119,0,0,0,0,2,1386,0,0,0,0,8505
andy_zipper_000_1_1.pst.17.xls,17,9,26,16,9,18,0,0,0,0,0,0,0,0,1,2,0,0,15,15,17
andy_zipper_000_1_1.pst.170.xls,13513,3545,17058,18,8,23,0,0,16,8529,0,0,0,0,2,1650,0,0,0,0,10179
andy_zipper_000_1_1.pst.175.xls,5864,5864,11728,59,59,118,0,0,55,5856,0,0,0,0,0,0,3,7,1,1,5864
andy_zipper_000_1_1.pst.179.xls,49,25,74,20,11,28,0,0,6,30,0,0,0,0,3,6,0,0,11,11,47
andy_zipper_000_1_1.pst.18.xls,11699,3071,14770,14,6,17,0,0,12,7385,0,0,0,0,2,1438,0,0,0,0,8823
andy_zipper_000_1_1.pst.181.xls,68,55,123,8,7,14,0,0,6,66,0,0,0,0,0,0,0,0,2,2,68
andy_zipper_000_1_1.pst.186.xls,11,6,17,8,6,10,0,0,1,2,0,0,0,0,1,3,0,0,6,6,11
andy_zipper_000_1_1.pst.187.xls,19410,3724,23134,420,268,358,4,147,217,4095,0,0,0,0,187,6571,0,0,12,12,10825
andy_zipper_000_1_1.pst.19.xls,24,24,48,9,9,14,2,10,7,14,0,0,0,0,0,0,0,0,0,0,24
andy_zipper_000_1_1.pst.190.xls,2520,1260,3780,57,57,114,27,1233,30,1287,0,0,0,0,0,0,0,0,0,0,2520
andy_zipper_000_1_1.pst.20.xls,12584,3304,15888,18,8,23,0,0,16,7944,0,0,0,0,2,1544,0,0,0,0,9488
andy_zipper_000_1_1.pst.21.xls,102377,46088,148465,624,328,945,0,0,460,78275,0,0,0,0,4,8,54,120,106,106,78509
andy_zipper_000_1_1.pst.23.xls,13876,3873,17749,17,8,22,0,0,16,9323,0,0,0,0,1,897,0,0,0,0,10220
andy_zipper_000_1_1.pst.243.xls,799,556,1355,19,17,26,0,0,6,786,0,0,0,0,0,0,0,0,13,13,799
andy_zipper_000_1_1.pst.27.xls,14709,4101,18810,17,8,22,0,0,16,9881,0,0,0,0,1,952,0,0,0,0,10833
andy_zipper_000_1_1.pst.28.xls,97076,43919,140995,631,331,955,0,0,466,75035,0,0,0,0,4,8,72,164,89,89,75296
andy_zipper_000_1_1.pst.52.xls,5880,2772,8652,29,22,48,0,0,25,4691,0,0,0,0,2,4,0,0,2,2,4697
andy_zipper_000_1_1.pst.53.xls,5880,2772,8652,29,22,48,0,0,25,4691,0,0,0,0,2,4,0,0,2,2,4697
andy_zipper_000_1_1.pst.54.xls,5889,2781,8670,34,27,57,0,0,27,4695,0,0,0,0,4,8,0,0,3,3,4706
andy_zipper_000_1_1.pst.58.xls,5889,2781,8670,34,27,57,0,0,27,4695,0,0,0,0,4,8,0,0,3,3,4706
andy_zipper_000_1_1.pst.59.xls,5891,2783,8674,34,27,57,0,0,27,4697,0,0,0,0,4,8,0,0,3,3,4708
andy_zipper_000_1_1.pst.62.xls,5891,2783,8674,34,27,57,0,0,27,4697,0,0,0,0,4,8,0,0,3,3,4708
andy_zipper_000_1_1.pst.63.xls,5802,2747,8549,34,27,57,0,0,27,4632,0,0,0,0,4,8,0,0,3,3,4643
andy_zipper_000_1_1.pst.64.xls,5884,2780,8664,34,27,57,0,0,27,4692,0,0,0,0,4,8,0,0,3,3,4703
andy_zipper_000_1_1.pst.65.xls,5789,2743,8532,36,29,61,0,0,27,4621,0,0,0,0,4,8,0,0,5,5,4634
andy_zipper_000_1_1.pst.66.xls,5789,2743,8532,36,29,61,0,0,27,4621,0,0,0,0,4,8,0,0,5,5,4634
andy_zipper_000_1_1.pst.67.xls,5745,2725,8470,36,29,61,0,0,27,4589,0,0,0,0,4,8,0,0,5,5,4602
andy_zipper_000_1_1.pst.68.xls,5745,2725,8470,36,29,61,0,0,27,4589,0,0,0,0,4,8,0,0,5,5,4602
andy_zipper_000_1_1.pst.69.xls,5745,2725,8470,36,29,61,0,0,27,4589,0,0,0,0,4,8,0,0,5,5,4602
andy_zipper_000_1_1.pst.70.xls,5747,2727,8474,38,31,65,0,0,27,4589,0,0,0,0,4,8,0,0,7,7,4604
andy_zipper_000_1_1.pst.71.xls,5723,2721,8444,38,31,65,0,0,27,4575,0,0,0,0,4,8,0,0,7,7,4590
andy_zipper_000_1_1.pst.72.xls,5723,2721,8444,38,31,65,0,0,27,4575,0,0,0,0,4,8,0,0,7,7,4590
andy_zipper_000_1_1.pst.73.xls,5723,2721,8444,38,31,65,0,0,27,4575,0,0,0,0,4,8,0,0,7,7,4590
andy_zipper_000_1_1.pst.74.xls,5723,2721,8444,38,31,65,0,0,27,4575,0,0,0,0,4,8,0,0,7,7,4590
andy_zipper_000_1_1.pst.75.xls,5723,2721,8444,38,31,65,0,0,27,4575,0,0,0,0,4,8,0,0,7,7,4590
andy_zipper_000_1_1.pst.76.xls,7179,2721,9900,39,31,65,0,0,28,4712,0,0,0,0,4,8,0,0,7,7,4727
andy_zipper_000_1_1.pst.77.xls,7179,2721,9900,39,31,65,0,0,28,4712,0,0,0,0,4,8,0,0,7,7,4727
andy_zipper_000_1_1.pst.78.xls,6155,2616,8771,38,31,65,0,0,27,4116,0,0,0,0,4,8,0,0,7,7,4131
